"TemplateName","TotalCommits","CreatedCommit","CreatedDate","LastModifiedCommit","LastModifiedDate","LastCommitSubject"
"Clarification_Overdue_Partner","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Compliance_Cleared_Approver_Alert","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Compliance_Docs_Submitted_Validator","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Compliance_Documents_Approved","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Compliance_Documents_Reminder","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Compliance_Documents_Reminder_60_days","2","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Compliance_Documents_Reminder_90_days","2","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Compliance_Documents_Requested","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Compliance_documents_submitted_for_review","3","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Compliance_Document_Expiry","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Compliance_Revision_Requested","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Compliance_your_document_upload_has_started","2","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"DD_Complete_Ready_for_Deliberation","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Decision_Recorded_PL_Alert","2","ef32568","2026-09-11 13:18:18 +0530","56ad848","2026-09-20 14:06:03 +0530","Configure Category 4 Reviewer email templates E-31, E-49, E-51 in Salesforce Flows"
"Decision_Under_Review","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Decline_recommended_with_reasons","2","ef32568","2026-09-11 13:18:18 +0530","391c5e2","2026-09-20 16:42:05 +0530","Configure Category 5 Approver email templates (E-22, E-47, E-55, E-33), create WG_Approver_Name__c field, and deploy WCF_Approver_Email_Alert_Flow"
"Draft_Abandonment_Warning","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Draft_Saved","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Evaluation_Due_Soon","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Information_Located_Review_Can_Resume","2","ef32568","2026-09-11 13:18:18 +0530","56ad848","2026-09-20 14:06:03 +0530","Configure Category 4 Reviewer email templates E-31, E-49, E-51 in Salesforce Flows"
"Internal_User_Account_Activation","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Master_MoU_Renewal_Reminder","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Master_MoU_Renewal_Reminder_Mail","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"New_Application_Validator_Queue","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"New_Evaluation_Assigned","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Onboarding_Complete_Partner","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Passed_to_review_with_a_flagged_concern","3","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Password_Changed_Confirmation","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"PL_of_Record_Change","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Ready_for_decision","2","ef32568","2026-09-11 13:18:18 +0530","391c5e2","2026-09-20 16:42:05 +0530","Configure Category 5 Approver email templates (E-22, E-47, E-55, E-33), create WG_Approver_Name__c field, and deploy WCF_Approver_Email_Alert_Flow"
"Reset_Password_Request1","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Resubmission_Received_Partner","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Reviewer_Evaluation_Submitted_PL_Alert","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Reviewer_Recused_PL_Alert","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Validation_Due_Soon","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Verify_Email_Address","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Welcome_to_Wadhwani_Grants_your_account_is_ready","3","ef32568","2026-09-11 13:18:18 +0530","d25ac66","2026-09-21 11:44:48 +0530","Revert Welcome Email and WFGrantsSignUpController to previous working state"
"We_are_closing_your_application_for_now","2","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"We_have_paused_your_onboarding","3","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"We_have_received_your_compliance_documents","2","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Your_account_is_suspended","2","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
