"Code","Category","Name","Recipient","TriggerEvent","TemplateFound","FlowFound","Status"
"E-24","Partner","Compliance document updates needed","Applicant","Compliance revision requested (Loop D)","Compliance_Revision_Requested","WF_Compliance_Document_flow.flow-meta","CONFIGURED"
"E-56","Partner","Reminder on compliance documents (30/60/90 days)","Applicant","30, 60, 90 days in Onboarding in Progress","Compliance_Documents_Reminder","WF_Compliance_Document_flow.flow-meta","CONFIGURED"
"E-25","Partner","We have received your documents","Applicant","Applicant submits compliance docs (Flag 8)","We_have_received_your_compliance_documents","WF_Compliance_Document_flow.flow-meta","CONFIGURED"
"E-63","Partner","Your compliance documents are approved","Applicant","Reviewer approves compliance (Flag 9)","Compliance_Documents_Approved","Compliance_Documents_Wadhwani_Grants.flow-meta, WF_Compliance_Document_flow.flow-meta","CONFIGURED"
"E-23","Partner","Your onboarding is complete","Applicant","Reviewer uploads executed agreement (Flag 10)","Onboarding_Complete_Partner","WF_Compliance_Document_flow.flow-meta","CONFIGURED"
"E-53","Partner","We are closing your application (Day 100 timeout)","Applicant","Day 100 timeout before approval (Flag 11)","We_are_closing_your_application_for_now","Wadhwani_Grants_Email.flow-meta","CONFIGURED"
"E-59","Partner","Your account is suspended","Applicant","Account suspended manually (Flag 12)","Your_account_is_suspended","Wadhwani_Grants_Email.flow-meta, WF_Compliance_Document_flow.flow-meta","CONFIGURED"
"E-60","Partner","We have paused your onboarding (Day 100 timeout)","Applicant","Day 100 timeout after approval (Flag 12)","We_have_paused_your_onboarding","NONE","TEMPLATE EXISTS, FLOW PENDING"
"E-17","Validator","New application to check","Validator","Applicant submits RFI or resubmission","New_Application_Validator_Queue","Wadhwani_Grants_Email.flow-meta, Wadhwani_Grants_Email_Test.flow-meta","CONFIGURED"
"E-18","Validator","Validation due soon","Validator","80% SLA timer in Completeness check","Validation_Due_Soon","Wadhwani_Grants_Email.flow-meta","CONFIGURED"
"E-48","Validator","The reviewer needs more information","Validator","Reviewer returns application to validator (Loop B)","Additional_Information_Requested","Wadhwani_Grants_Email.flow-meta","CONFIGURED"
"E-57","Validator","An email to the applicant bounced","Validator","Post-submission bounced email","MISSING","NONE","TEMPLATE & FLOW MISSING"
"E-58","Validator","This organization may already be on record","Validator","Duplicate organization match","MISSING","NONE","TEMPLATE & FLOW MISSING"
"E-06","Reviewer","New evaluation assigned","Reviewer","Validator passes application (Flag 3)","New_Evaluation_Assigned","Reviewer_Email_Alert_Wadhwani_Grants.flow-meta","CONFIGURED"
"E-46","Reviewer","Passed to review, with a flagged concern","Reviewer","Validator passes with flag (Flag 3)","Passed_to_review_with_a_flagged_concern","Reviewer_Email_Alert_Wadhwani_Grants.flow-meta","CONFIGURED"
"E-07","Reviewer","Your evaluation is due soon","Reviewer","80% SLA timer in Review","Evaluation_Due_Soon","Reviewer_Email_Alert_Wadhwani_Grants.flow-meta","CONFIGURED"
"E-31","Reviewer","Decision recorded","Reviewer","Approver records decision (Accept/Reject)","Decision_Recorded_PL_Alert","WCF_Application_Decision_Flow.flow-meta","CONFIGURED"
"E-36","Reviewer","Compliance documents submitted for review","Reviewer","Applicant submits compliance docs (Flag 8)","Compliance_Docs_Submitted_Validator","Compliance_Documents_Wadhwani_Grants.flow-meta","CONFIGURED"
"E-49","Reviewer","Information located, review can resume","Reviewer","Validator resolves query -> Under Review (Loop B)","Information_Located_Review_Can_Resume","Wadhwani_Grants_Email.flow-meta","CONFIGURED"
"E-51","Reviewer","Returned for additional detail","Reviewer","Approver returns to reviewer / asks question (Loop C)","Approver_Further_Detail_Request_PL","Wadhwani_Grants_Email.flow-meta","CONFIGURED"
"E-22","Approver","Ready for decision","Approver","Reviewer completes review & recommends approval (Flag 4)","Ready_for_decision","WCF_Approver_Email_Alert_Flow.flow-meta","CONFIGURED"
"E-47","Approver","Decline recommended, with reasons","Approver","Reviewer submits review recommending decline (Flag 4)","Decline_recommended_with_reasons","WCF_Approver_Email_Alert_Flow.flow-meta","CONFIGURED"
"E-55","Approver","A decision is overdue","Approver","Decision sits past 3-day window in Flag 4","A_decision_is_overdue","WCF_Approver_Email_Alert_Flow.flow-meta","CONFIGURED"
"E-50","Approver","The detail you asked for","Approver","Reviewer/Validator answers approvers query (Loop C)","Compliance_Cleared_Approver_Alert","WF_Compliance_Document_flow.flow-meta","CONFIGURED"
"E-39","Account","Your password was changed","User","User changes password","Password_Changed_Confirmation","NONE","TEMPLATE EXISTS, FLOW PENDING"
"E-16","Account","Reset your password","User","User requests password reset","Reset_Password_Request1","NONE","TEMPLATE EXISTS, FLOW PENDING"
"E-38","Account","Your account is locked","User","Account locks after failed sign-ins","Account_Locked","NONE","TEMPLATE EXISTS, FLOW PENDING"
"E-27","Account","Activate your platform account","Internal User","New internal user account created","Internal_User_Account_Activation","NONE","TEMPLATE EXISTS, FLOW PENDING"
"E-11","Retired","Your decision is under review","Applicant","Retired / Switched off","MISSING","NONE","RETIRED (INACTIVE)"
"E-29","Retired","Evaluation submitted","Reviewer","Retired / Not built in Phase 1","MISSING","NONE","RETIRED (INACTIVE)"
